类别	问 句
定义类	请 解 释 访 问 控 制 技 术 的 定 义 是 什 么 ？
定义类	请 解 释 单 播 的 定 义 是 什 么 ？
定义类	请 解 释 多 播 的 定 义 是 什 么 ？
定义类	请 解 释 任 播 的 定 义 是 什 么 ？
定义类	请 解 释 检 验 和 的 定 义 是 什 么 ？
定义类	请 解 释 定 时 器 的 定 义 是 什 么 ？
定义类	请 解 释 序 号 的 定 义 是 什 么 ？
定义类	请 解 释 确 认 的 定 义 是 什 么 ？
定义类	请 解 释 否 定 确 认 的 定 义 是 什 么 ？
定义类	请 解 释 窗 口 的 定 义 是 什 么 ？
定义类	请 解 释 接 收 端 窗 口 的 定 义 是 什 么 ？
定义类	请 解 释 拥 塞 窗 口 的 定 义 是 什 么 ？
定义类	请 解 释 域 名 的 定 义 是 什 么 ？
定义类	请 解 释 万 维 网 的 定 义 是 什 么 ？
定义类	请 解 释 页 面 的 定 义 是 什 么 ？
定义类	请 解 释 统 一 资 源 定 位 符 的 定 义 是 什 么 ？
定义类	请 解 释 超 文 本 传 送 协 议 的 定 义 是 什 么 ？
定义类	请 解 释 超 文 本 标 记 语 言 的 定 义 是 什 么 ？
定义类	请 解 释 搜 索 工 具 的 定 义 是 什 么 ？
定义类	请 解 释 万 维 网 高 速 缓 存 的 定 义 是 什 么 ？
定义类	请 解 释 远 程 链 接 的 定 义 是 什 么 ？
定义类	请 解 释 本 地 链 接 的 定 义 是 什 么 ？
定义类	请 解 释 静 态 文 档 的 定 义 是 什 么 ？
定义类	请 解 释 动 态 文 档 的 定 义 是 什 么 ？
定义类	请 解 释 脚 本 的 定 义 是 什 么 ？
定义类	请 解 释 故 障 管 理 的 定 义 是 什 么 ？
定义类	请 解 释 配 置 管 理 的 定 义 是 什 么 ？
定义类	请 解 释 计 费 管 理 的 定 义 是 什 么 ？
定义类	请 解 释 性 能 管 理 的 定 义 是 什 么 ？
定义类	请 解 释 安 全 管 理 的 定 义 是 什 么 ？
定义类	请 解 释 管 理 信 息 库 的 定 义 是 什 么 ？
定义类	请 解 释 读 操 作 的 定 义 是 什 么 ？
定义类	请 解 释 写 操 作 的 定 义 是 什 么 ？
定义类	请 解 释 g e t - r e q u e s t 的 定 义 是 什 么 ？
定义类	请 解 释 g e t - n e x t - r e q u e s t 的 定 义 是 什 么 ？
定义类	请 解 释 g e t - r e s p o n s e 的 定 义 是 什 么 ？
定义类	请 解 释 s e t - r e s p o n s e 的 定 义 是 什 么 ？
定义类	请 解 释 t r a p 的 定 义 是 什 么 ？
定义类	请 解 释 t o o B i g 的 定 义 是 什 么 ？
定义类	请 解 释 n o S u c h N a m e 的 定 义 是 什 么 ？
定义类	请 解 释 b a d V a l u e 的 定 义 是 什 么 ？
定义类	请 解 释 r e a d O n l y 的 定 义 是 什 么 ？
定义类	请 解 释 g e n E r r 的 定 义 是 什 么 ？
定义类	请 解 释 C o l d S t a r 的 定 义 是 什 么 ？
定义类	请 解 释 w a r m S t a r 的 定 义 是 什 么 ？
定义类	请 解 释 l i n k D o w n 的 定 义 是 什 么 ？
定义类	请 解 释 l i n k U p 的 定 义 是 什 么 ？
定义类	请 解 释 a u t h e n t i c a t i o n F a i l u r e 的 定 义 是 什 么 ？
定义类	请 解 释 e g p N e i g h b o u r L o s s 的 定 义 是 什 么 ？
定义类	请 解 释 e n t e r p r i s e S p e c i f i c 的 定 义 是 什 么 ？
定义类	请 解 释 特 定 代 码 的 定 义 是 什 么 ？
定义类	请 解 释 时 间 戳 的 定 义 是 什 么 ？
定义类	请 解 释 应 用 类 的 定 义 是 什 么 ？
定义类	请 解 释 上 下 文 类 的 定 义 是 什 么 ？
定义类	请 解 释 专 用 类 的 定 义 是 什 么 ？
定义类	请 解 释 s o c k e t 调 用 的 定 义 是 什 么 ？
定义类	请 解 释 b i n d 调 用 的 定 义 是 什 么 ？
定义类	请 解 释 r e c v f r o m 调 用 的 定 义 是 什 么 ？
定义类	请 解 释 s e n d t o 调 用 的 定 义 是 什 么 ？
定义类	请 解 释 c l o s e 调 用 的 定 义 是 什 么 ？
定义类	请 解 释 l i s t e n 调 用 的 定 义 是 什 么 ？
定义类	请 解 释 c o n n e c t 调 用 的 定 义 是 什 么 ？
定义类	请 解 释 a c c e p t 调 用 的 定 义 是 什 么 ？
定义类	请 解 释 f o r k 调 用 的 定 义 是 什 么 ？
定义类	请 解 释 r e a d 调 用 的 定 义 是 什 么 ？
定义类	请 解 释 w r i t e 调 用 的 定 义 是 什 么 ？
定义类	请 解 释 截 获 的 定 义 是 什 么 ？
定义类	请 解 释 中 断 的 定 义 是 什 么 ？
定义类	请 解 释 篡 改 的 定 义 是 什 么 ？
定义类	请 解 释 伪 造 的 定 义 是 什 么 ？
定义类	请 解 释 被 动 攻 击 的 定 义 是 什 么 ？
定义类	请 解 释 主 动 攻 击 的 定 义 是 什 么 ？
定义类	请 解 释 拒 绝 报 文 服 务 的 定 义 是 什 么 ？
定义类	请 解 释 伪 造 连 接 初 始 化 的 定 义 是 什 么 ？
定义类	请 解 释 计 算 机 病 毒 的 定 义 是 什 么 ？
定义类	请 解 释 计 算 机 蠕 虫 的 定 义 是 什 么 ？
定义类	请 解 释 逻 辑 炸 弹 的 定 义 是 什 么 ？
定义类	请 解 释 密 码 编 码 学 的 定 义 是 什 么 ？
定义类	请 解 释 密 码 分 析 学 的 定 义 是 什 么 ？
定义类	请 解 释 替 换 密 码 的 定 义 是 什 么 ？
定义类	请 解 释 置 换 密 码 的 定 义 是 什 么 ？
定义类	请 解 释 P G P 的 定 义 是 什 么 ？
定义类	请 解 释 R F C 1 4 2 1 的 定 义 是 什 么 ？
定义类	请 解 释 R F C 1 4 2 2 的 定 义 是 什 么 ？
定义类	请 解 释 R F C 1 4 2 3 的 定 义 是 什 么 ？
定义类	请 解 释 R F C 1 4 2 4 的 定 义 是 什 么 ？
定义类	请 解 释 S S L 的 定 义 是 什 么 ？
定义类	请 解 释 S S L 服 务 器 鉴 别 的 定 义 是 什 么 ？
定义类	请 解 释 加 密 的 S S L 会 话 的 定 义 是 什 么 ？
定义类	请 解 释 S S L 客 户 鉴 别 的 定 义 是 什 么 ？
定义类	请 解 释 I P s e c 的 定 义 是 什 么 ？
定义类	请 解 释 网 络 层 保 密 的 定 义 是 什 么 ？
定义类	请 解 释 防 火 墙 的 定 义 是 什 么 ？
定义类	请 解 释 R T P 的 定 义 是 什 么 ？
定义类	请 解 释 R T S P 的 定 义 是 什 么 ？
定义类	请 解 释 狭 义 的 I P 电 话 的 定 义 是 什 么 ？
定义类	请 解 释 广 义 的 I P 电 话 的 定 义 是 什 么 ？
定义类	请 解 释 H . 3 2 3 的 定 义 是 什 么 ？
定义类	请 解 释 H . 2 2 5 . 0 呼 叫 信 令 的 定 义 是 什 么 ？
定义类	请 解 释 H . 2 4 5 控 制 信 令 的 定 义 是 什 么 ？
定义类	请 解 释 有 保 证 的 服 务 的 定 义 是 什 么 ？
定义类	请 解 释 受 控 负 载 的 服 务 的 定 义 是 什 么 ？
定义类	请 解 释 接 纳 控 制 的 定 义 是 什 么 ？
定义类	请 解 释 分 类 器 的 定 义 是 什 么 ？
定义类	请 解 释 调 度 器 的 定 义 是 什 么 ？
定义类	请 解 释 L S R 的 定 义 是 什 么 ？
定义类	请 解 释 L D P 的 定 义 是 什 么 ？
定义类	请 解 释 L S P 的 定 义 是 什 么 ？
定义类	请 解 释 三 网 的 定 义 是 什 么 ？
定义类	请 解 释 融 合 的 定 义 是 什 么 ？
定义类	什 么 是 软 件 ？
定义类	什 么 是 程 序 ？
定义类	什 么 是 文 档 ？
定义类	什 么 是 多 媒 体 ？
定义类	什 么 是 超 文 本 ？
定义类	什 么 是 计 算 机 网 络 ？
定义类	什 么 是 广 播 式 网 络 ？
定义类	什 么 是 点 对 点 式 网 络 ？
定义类	什 么 是 局 域 网 ？
定义类	什 么 是 城 域 网 ？
定义类	什 么 是 广 域 网 ？
定义类	什 么 是 数 据 传 输 率 ？
定义类	什 么 是 信 道 带 宽 ？
定义类	什 么 是 网 络 协 议 ？
定义类	什 么 是 网 络 体 系 结 构 ？
定义类	什 么 是 I S O / O S I 参 考 模 型 ？
定义类	什 么 是 T C P 协 议 ？
定义类	什 么 是 U D P 协 议 ？
定义类	什 么 是 网 络 拓 扑 ？
定义类	什 么 是 并 行 传 输 ？
定义类	什 么 是 串 行 传 输 ？
定义类	什 么 是 数 据 的 同 步 传 输 ？
定义类	什 么 是 数 据 的 异 步 传 输 ？
定义类	什 么 是 T o k e n   B u s ？
定义类	什 么 是 结 构 化 布 线 ？
定义类	什 么 是 操 作 系 统 ？
定义类	什 么 是 特 权 指 令 ？
定义类	什 么 是 非 特 权 指 令 ？
定义类	什 么 是 中 断 ？
定义类	什 么 是 强 迫 性 中 断 ？
定义类	什 么 是 自 愿 性 中 断 ？
定义类	什 么 是 中 断 响 应 ？
定义类	什 么 是 中 断 屏 蔽 ？
定义类	什 么 是 进 程 ？
定义类	什 么 是 管 道 ？
定义类	什 么 是 死 锁 ？
定义类	什 么 是 实 内 存 ？
定义类	什 么 是 虚 内 存 ？
定义类	什 么 是 物 理 地 址 ？
定义类	什 么 是 逻 辑 地 址 ？
定义类	什 么 是 地 址 重 定 位 ？
定义类	什 么 是 静 态 划 分 ？
定义类	什 么 是 动 态 划 分 ？
定义类	什 么 是 等 长 分 区 ？
定义类	什 么 是 不 等 长 分 区 ？
定义类	什 么 是 碎 片 ？
定义类	什 么 是 固 定 分 区 ？
定义类	什 么 是 可 变 分 区 ？
定义类	什 么 是 时 间 局 部 性 ？
定义类	什 么 是 空 间 局 部 性 ？
定义类	什 么 是 文 件 ？
定义类	什 么 是 文 件 系 统 ？
定义类	什 么 是 顺 序 存 取 ？
定义类	什 么 是 随 机 存 取 ？
定义类	什 么 是 文 件 控 制 块 ？
定义类	什 么 是 目 录 文 件 ？
定义类	什 么 是 存 储 设 备 ？
定义类	什 么 是 输 入 输 出 设 备 ？
定义类	什 么 是 块 设 备 ？
定义类	什 么 是 字 符 设 备 ？
定义类	什 么 是 独 占 设 备 ？
定义类	什 么 是 共 享 设 备 ？
定义类	什 么 是 虚 拟 设 备 ？
定义类	什 么 是 N I I ？
定义类	什 么 是 I P 协 议 ？
定义类	什 么 是 I P 地 址 ？
定义类	什 么 是 T C P 协 议 ？
定义类	什 么 是 U D P 协 议 ？
定义类	什 么 是 域 名 服 务 器 ？
定义类	什 么 是 超 链 接 ？
定义类	什 么 是 超 文 本 文 件 ？
定义类	什 么 是 超 媒 体 ？
定义类	什 么 是 超 文 本 标 记 语 言 ？
定义类	什 么 是 搜 索 引 擎 ？
定义类	什 么 是 配 置 管 理 ？
定义类	什 么 是 故 障 管 理 ？
定义类	什 么 是 性 能 管 理 ？
定义类	什 么 是 计 费 管 理 ？
定义类	什 么 是 安 全 管 理 ？
定义类	什 么 是 网 络 安 全 ？
定义类	什 么 是 安 全 威 胁 ？
定义类	什 么 是 对 称 加 密 ？
定义类	什 么 是 授 权 ？
定义类	什 么 是 访 问 控 制 ？
定义类	什 么 是 消 息 认 证 ？
定义类	什 么 是 主 动 攻 击 ？
定义类	什 么 是 防 火 墙 ？
定义类	什 么 是 电 子 商 务 ？
定义类	什 么 是 安 全 电 子 交 易 ？
定义类	什 么 是 交 互 型 业 务 ？
定义类	什 么 是 发 布 型 业 务 ？
定义类	什 么 是 A T M ？
定义类	什 么 是 服 务 质 量 ？
定义类	什 么 是 开 放 ？
定义类	什 么 是 客 户 和 服 务 器 模 式 ？
定义类	什 么 是 网 络 体 系 结 构 ？
定义类	什 么 是 网 络 协 议 ？
定义类	什 么 是 语 法 ？
定义类	什 么 是 语 义 ？
定义类	什 么 是 同 步 ？
定义类	什 么 是 协 议 ？
定义类	什 么 是 多 机 系 统 ？
定义类	什 么 是 速 率 ？
定义类	什 么 是 带 宽 ？
定义类	什 么 是 吞 吐 量 ？
定义类	什 么 是 传 输 时 延 ？
定义类	什 么 是 传 播 时 延 ？
定义类	什 么 是 处 理 时 延 ？
定义类	什 么 是 排 队 时 延 ？
定义类	什 么 是 总 时 延 ？
定义类	什 么 是 信 道 利 用 率 ？
定义类	什 么 是 网 络 利 用 率 ？
定义类	什 么 是 透 明 ？
定义类	什 么 是 协 议 栈 ？
定义类	什 么 是 实 体 ？
定义类	什 么 是 对 等 层 ？
定义类	什 么 是 协 议 数 据 单 元 ？
定义类	什 么 是 服 务 访 问 点 ？
定义类	什 么 是 客 户 ？
定义类	什 么 是 服 务 器 ？
定义类	什 么 是 客 户 - 服 务 器 方 式 ？
定义类	什 么 是 e v e r y t h i n g   o v e r   I P ？
定义类	什 么 是 I P   o v e r   e v e r y t h i n g ？
定义类	什 么 是 多 路 复 用 ？
定义类	什 么 是 D T E ？
定义类	什 么 是 D C E ？
定义类	什 么 是 数 据 ？
定义类	什 么 是 信 号 ？
定义类	什 么 是 模 拟 数 据 ？
定义类	什 么 是 模 拟 信 号 ？
定义类	什 么 是 基 带 信 号 ？
定义类	什 么 是 带 通 信 号 ？
定义类	什 么 是 数 字 信 号 ？
定义类	什 么 是 数 字 数 据 ？
定义类	什 么 是 码 元 ？
定义类	什 么 是 单 工 通 信 ？
定义类	什 么 是 半 双 工 通 信 ？
定义类	什 么 是 全 双 工 通 信 ？
定义类	什 么 是 F D M ？
定义类	什 么 是 T D M ？
定义类	什 么 是 S T D M ？
定义类	什 么 是 W D M ？
定义类	什 么 是 D W D M ？
定义类	什 么 是 C D M A ？
定义类	什 么 是 S O N E T ？
定义类	什 么 是 S D H ？
定义类	什 么 是 S T M - 1 ？
定义类	什 么 是 O C - 4 8 ？
定义类	什 么 是 比 特 时 间 ？
定义类	什 么 是 I P 地 址 ？
定义类	什 么 是 V P N ？
定义类	什 么 是 N A T ？
定义类	什 么 是 解 析 器 ？
定义类	什 么 是 管 理 信 息 库 ？
定义类	什 么 是 W W W ？
定义类	什 么 是 U R L ？
定义类	什 么 是 H T T P ？
定义类	什 么 是 H T M L ？
定义类	什 么 是 C G I ？
定义类	什 么 是 浏 览 器 ？
定义类	什 么 是 超 文 本 ？
定义类	什 么 是 超 链 接 ？
定义类	什 么 是 搜 索 引 擎 ？
定义类	什 么 是 动 态 文 档 ？
定义类	什 么 是 网 络 管 理 ？
定义类	什 么 是 网 络 元 素 ？
定义类	什 么 是 被 管 对 象 ？
定义类	什 么 是 管 理 进 程 ？
定义类	什 么 是 代 理 进 程 ？
定义类	什 么 是 管 理 信 息 库 ？
定义类	什 么 是 管 理 信 息 结 构 ？
定义类	什 么 是 重 放 攻 击 ？
定义类	什 么 是 拒 绝 服 务 ？
定义类	什 么 是 访 问 控 制 ？
定义类	什 么 是 流 量 分 析 ？
定义类	什 么 是 恶 意 程 序 ？
定义类	什 么 是 管 制 ？
定义类	什 么 是 调 度 ？
定义类	什 么 是 呼 叫 接 纳 ？
定义类	什 么 是 平 均 速 率 ？
定义类	什 么 是 峰 值 速 率 ？
定义类	什 么 是 突 发 长 度 ？
定义类	什 么 是 无 线 通 信 ？
定义类	什 么 是 移 动 通 信 ？
定义类	什 么 是 蜂 窝 移 动 通 信 ？
定义类	什 么 是 B S S ？
定义类	什 么 是 E S S ？
定义类	什 么 是 A P ？
定义类	什 么 是 B S A ？
定义类	什 么 是 D C F ？
定义类	什 么 是 P C F ？
定义类	什 么 是 N A V ？
定义类	什 么 是 归 属 网 络 ？
定义类	什 么 是 永 久 地 址 ？
定义类	什 么 是 归 属 代 理 ？
定义类	什 么 是 被 访 网 络 ？
定义类	什 么 是 外 地 代 理 ？
定义类	什 么 是 转 交 地 址 ？
定义类	请 解 释 平 均 寻 道 时 间 的 定 义 是 什 么 ？
定义类	请 解 释 平 均 等 待 时 间 的 定 义 是 什 么 ？
定义类	请 解 释 数 据 传 输 率 的 定 义 是 什 么 ？
定义类	请 解 释 多 媒 体 技 术 的 定 义 是 什 么 ？
定义类	请 解 释 超 媒 体 技 术 的 定 义 是 什 么 ？
定义类	请 解 释 计 算 机 网 络 的 定 义 是 什 么 ？
定义类	请 解 释 网 络 拓 扑 的 定 义 是 什 么 ？
定义类	请 解 释 传 输 介 质 的 定 义 是 什 么 ？
定义类	请 解 释 T o k e n   B u s 的 定 义 是 什 么 ？
定义类	请 解 释 硬 件 地 址 的 定 义 是 什 么 ？
定义类	请 解 释 F D D I 的 定 义 是 什 么 ？
定义类	请 解 释 网 络 操 作 系 统 的 定 义 是 什 么 ？
定义类	请 解 释 因 特 网 的 定 义 是 什 么 ？
定义类	请 解 释 安 全 威 胁 的 定 义 是 什 么 ？
定义类	请 解 释 防 火 墙 的 定 义 是 什 么 ？
定义类	请 解 释 计 算 机 网 络 的 定 义 是 什 么 ？
定义类	请 解 释 自 治 计 算 机 的 定 义 是 什 么 ？
定义类	请 解 释 实 体 的 定 义 是 什 么 ？
定义类	请 解 释 对 等 层 的 定 义 是 什 么 ？
定义类	请 解 释 对 等 实 体 的 定 义 是 什 么 ？
定义类	请 解 释 协 议 的 定 义 是 什 么 ？
定义类	请 解 释 语 义 的 定 义 是 什 么 ？
定义类	请 解 释 语 法 的 定 义 是 什 么 ？
定义类	请 解 释 同 步 的 定 义 是 什 么 ？
定义类	请 解 释 服 务 的 定 义 是 什 么 ？
定义类	请 解 释 时 延 的 定 义 是 什 么 ？
定义类	请 解 释 发 送 时 延 的 定 义 是 什 么 ？
定义类	请 解 释 传 播 时 延 的 定 义 是 什 么 ？
定义类	请 解 释 处 理 时 延 的 定 义 是 什 么 ？
定义类	请 解 释 排 队 时 延 的 定 义 是 什 么 ？
定义类	请 解 释 往 返 时 间 的 定 义 是 什 么 ？
定义类	请 解 释 信 号 的 定 义 是 什 么 ？
定义类	请 解 释 信 源 的 定 义 是 什 么 ？
定义类	请 解 释 信 道 的 定 义 是 什 么 ？
定义类	请 解 释 信 宿 的 定 义 是 什 么 ？
定义类	请 解 释 串 行 传 输 的 定 义 是 什 么 ？
定义类	请 解 释 并 行 传 输 的 定 义 是 什 么 ？
定义类	请 解 释 单 工 的 定 义 是 什 么 ？
定义类	请 解 释 半 双 工 的 定 义 是 什 么 ？
定义类	请 解 释 全 双 工 的 定 义 是 什 么 ？
定义类	请 解 释 速 率 的 定 义 是 什 么 ？
定义类	请 解 释 波 特 率 的 定 义 是 什 么 ？
定义类	请 解 释 比 特 率 的 定 义 是 什 么 ？
定义类	请 解 释 带 宽 的 定 义 是 什 么 ？
定义类	请 解 释 机 械 特 性 的 定 义 是 什 么 ？
定义类	请 解 释 电 气 特 性 的 定 义 是 什 么 ？
定义类	请 解 释 功 能 特 性 的 定 义 是 什 么 ？
定义类	请 解 释 规 程 特 性 的 定 义 是 什 么 ？
定义类	请 解 释 检 错 编 码 的 定 义 是 什 么 ？
定义类	请 解 释 B G P 的 定 义 是 什 么 ？
定义类	请 解 释 转 发 的 定 义 是 什 么 ？
定义类	请 解 释 路 由 选 择 的 定 义 是 什 么 ？
定义类	请 解 释 复 用 的 定 义 是 什 么 ？
定义类	请 解 释 分 用 的 定 义 是 什 么 ？
定义类	请 解 释 硬 件 端 口 的 定 义 是 什 么 ？
定义类	请 解 释 软 件 端 口 的 定 义 是 什 么 ？
定义类	什 么 是 字 长 ？
定义类	什 么 是 C P U 运 算 速 度 ？
定义类	什 么 是 存 储 周 期 ？
定义类	什 么 是 R A S 技 术 ？
定义类	什 么 是 程 序 ？
定义类	什 么 是 超 文 本 ？
定义类	什 么 是 超 媒 体 ？
定义类	什 么 是 误 码 率 ？
定义类	什 么 是 多 媒 体 网 络 ？
定义类	什 么 是 虚 拟 网 络 ？
定义类	什 么 是 网 卡 ？
定义类	什 么 是 结 构 化 布 线 系 统 ？
定义类	什 么 是 网 络 操 作 系 统 ？
定义类	什 么 是 安 全 策 略 ？
定义类	什 么 是 中 断 ？
定义类	什 么 是 截 取 ？
定义类	什 么 是 修 改 ？
定义类	什 么 是 捏 造 ？
定义类	什 么 是 病 毒 ？
定义类	什 么 是 置 换 ？
定义类	什 么 是 易 位 ？
定义类	什 么 是 电 子 商 务 ？
定义类	什 么 是 接 入 网 ？
一般类	简 述 计 算 机 有 哪 几 个 发 展 阶 段 。
一般类	计 算 机 有 哪 些 类 别 ？
一般类	计 算 机 有 哪 些 主 要 性 能 指 标 ？
一般类	计 算 机 有 哪 些 主 要 的 应 用 领 域 ？
一般类	按 计 算 机 采 用 的 电 子 器 件 来 划 分 ， 计 算 机 的 发 展 有 哪 几 个 阶 段 ？
一般类	计 算 机 的 硬 件 组 成 分 为 几 个 层 次 ？
一般类	C P U 的 主 要 结 构 有 什 么 ？
一般类	奔 腾 芯 片 有 哪 些 技 术 特 点 ？
一般类	奔 腾 与 安 腾 芯 片 的 技 术 特 点 差 别 ？
一般类	网 络 卡 有 哪 些 功 能 ？
一般类	主 板 有 哪 几 种 分 类 的 方 法 ？
一般类	按 C P U 芯 片 划 分 ， 主 板 有 哪 几 种 类 别 ？
一般类	按 主 板 的 规 格 划 分 ， 主 板 有 哪 几 种 类 别 ？
一般类	按 存 储 器 容 量 划 分 ， 主 板 有 哪 几 种 类 别 ？
一般类	按 芯 片 集 划 分 ， 主 板 有 哪 几 种 类 别 ？
一般类	按 数 据 端 口 划 分 ， 主 板 有 哪 几 种 类 别 ？
一般类	按 扩 展 槽 划 分 ， 主 板 有 哪 几 种 类 别 ？
一般类	按 生 产 厂 家 划 分 ， 主 板 有 哪 几 种 类 别 ？
一般类	编 程 语 言 有 哪 些 类 型 ？
一般类	软 件 开 发 的 各 个 阶 段 是 什 么 ？
一般类	多 媒 体 的 关 键 技 术 是 什 么 ？
一般类	计 算 机 网 络 有 哪 些 功 能 ？
一般类	计 算 机 网 络 有 哪 些 用 途 ？
一般类	资 源 子 网 的 主 要 结 构 有 什 么 ？
一般类	通 信 子 网 的 主 要 结 构 有 什 么 ？
一般类	分 布 式 系 统 有 什 么 特 征 ？
一般类	计 算 机 网 络 有 哪 几 种 分 类 的 方 法 ？
一般类	按 网 络 中 采 用 的 信 息 交 换 方 式 划 分 ， 计 算 机 网 络 有 哪 几 种 类 别 ？
一般类	按 系 统 内 计 算 机 之 间 的 耦 合 程 序 和 覆 盖 范 围 划 分 ， 计 算 机 网 络 有 哪 几 种 类 别 ？
一般类	简 述 局 域 网 的 特 点 。
一般类	简 述 局 域 网 的 应 用 。
一般类	简 述 局 域 网 常 用 的 传 输 介 质 。
一般类	简 述 城 域 网 的 特 点 。
一般类	简 述 城 域 网 的 应 用 。
一般类	简 述 广 域 网 的 特 征 。
一般类	简 述 广 域 网 的 发 展 。
一般类	网 络 有 哪 些 基 本 组 成 部 分 ？
一般类	基 本 的 网 络 传 输 介 质 有 哪 些 ？
一般类	网 络 专 用 设 备 有 哪 些 ？
一般类	面 向 家 庭 的 网 络 接 入 技 术 有 哪 些 ？
一般类	面 向 小 型 商 务 的 网 络 接 入 技 术 有 哪 些 ？
一般类	面 向 小 规 模 应 用 的 网 络 接 入 技 术 有 哪 些 ？
一般类	面 向 大 型 单 位 的 网 络 接 入 技 术 有 哪 些 ？
一般类	面 向 组 织 机 构 的 网 络 接 入 技 术 有 哪 些 ？
一般类	面 向 I S P 的 网 络 接 入 技 术 有 哪 些 ？
一般类	网 络 协 议 的 组 成 要 素 是 什 么 ？
一般类	计 算 机 网 络 的 结 构 可 以 从 哪 些 方 面 来 描 述 ？
一般类	O S I 参 考 模 型 分 层 遵 循 什 么 原 则 ？
一般类	简 述 O S I 参 考 模 型 物 理 层 的 功 能 。
一般类	简 述 O S I 参 考 模 型 数 据 链 路 层 的 功 能 。
一般类	简 述 O S I 参 考 模 型 网 络 层 的 功 能 。
一般类	简 述 O S I 参 考 模 型 传 输 层 的 功 能 。
一般类	简 述 O S I 参 考 模 型 会 话 层 的 功 能 。
一般类	简 述 O S I 参 考 模 型 表 示 层 的 功 能 。
一般类	简 述 O S I 参 考 模 型 应 用 层 的 功 能 。
一般类	T C P / I P 参 考 模 型 是 怎 样 产 生 的 ？
一般类	T C P / I P 协 议 有 什 么 特 点 ？
一般类	T C P / I P 参 考 模 型 分 为 哪 些 层 次 ？
一般类	简 述 T C P / I P 参 考 模 型 互 联 层 的 功 能 。
一般类	简 述 T C P 协 议 的 具 体 内 容 。
一般类	简 述 U D P 协 议 的 具 体 内 容 。
一般类	T C P / I P 参 考 模 型 应 用 层 协 议 有 哪 些 ？
一般类	O S I 参 考 模 型 与 T C P / I P 参 考 模 型 有 哪 些 相 似 之 处 ？
一般类	O S I 参 考 模 型 有 哪 些 主 要 概 念 ？
一般类	星 型 拓 扑 有 什 么 特 点 ？
一般类	环 型 拓 扑 有 什 么 特 点 ？
一般类	树 型 拓 扑 有 什 么 特 点 ？
一般类	网 状 型 拓 扑 有 什 么 特 点 ？
一般类	总 线 型 拓 扑 有 什 么 特 点 ？
一般类	通 信 终 端 间 的 数 据 传 输 有 哪 些 通 信 方 式 ？
一般类	局 域 网 的 技 术 特 点 是 什 么 ？
一般类	局 域 网 拓 扑 类 型 有 哪 些 ？
一般类	局 域 网 常 用 的 传 输 介 质 有 哪 些 ？
一般类	T o k e n   B u s 的 特 点 是 什 么 ？
一般类	C S M A / C D 的 特 点 是 什 么 ？
一般类	解 决 网 络 规 模 和 网 络 性 能 之 间 的 矛 盾 应 采 取 什 么 策 略 ？
一般类	简 述 光 纤 分 布 式 数 据 接 口 的 特 点 。
一般类	简 述 交 换 机 的 类 型 。
一般类	局 域 网 交 换 机 的 特 性 有 哪 些 ？
一般类	虚 拟 局 域 网 的 定 义 方 法 有 哪 些 ？
一般类	按 采 用 的 传 输 技 术 来 划 分 ， 无 线 局 域 网 有 哪 些 类 别 ？
一般类	扩 频 方 式 有 哪 些 ？
一般类	简 述 扩 频 方 式 的 组 合 方 式 。
一般类	怎 样 对 网 卡 进 行 分 类 ？
一般类	按 网 卡 支 持 的 传 输 速 率 分 类 ， 网 卡 有 哪 些 类 别 ？
一般类	按 网 络 所 支 持 的 传 输 介 质 类 型 划 分 ， 网 卡 有 哪 些 类 别 ？
一般类	集 线 器 怎 样 进 行 分 类 ？
一般类	按 集 线 器 支 持 的 传 输 速 率 分 类 ， 集 线 器 有 哪 些 类 别 ？
一般类	怎 样 用 同 轴 电 缆 组 网 ？
一般类	使 用 粗 缆 组 建 以 太 网 需 要 哪 些 基 本 硬 件 设 备 ？
一般类	使 用 细 缆 组 建 以 太 网 需 要 哪 些 基 本 硬 件 设 备 ？
一般类	使 用 双 绞 线 组 建 以 太 网 需 要 哪 些 基 本 硬 件 设 备 ？
一般类	按 使 用 集 线 器 的 方 式 分 类 ， 双 绞 线 组 网 方 法 有 哪 几 种 ？
一般类	快 速 以 太 网 组 网 需 要 哪 些 硬 件 设 备 ？
一般类	组 建 吉 比 特 以 太 网 需 要 哪 些 硬 件 设 备 ？
一般类	智 能 大 楼 的 组 成 部 分 是 什 么 ？
一般类	网 络 互 联 技 术 的 发 展 动 力 是 什 么 ？
一般类	网 络 互 联 的 类 型 有 哪 些 ？
一般类	网 络 在 哪 几 层 实 现 互 联 ？
一般类	有 哪 几 种 设 备 可 以 实 现 网 络 互 联 ？
一般类	简 述 网 桥 的 基 本 特 征 。
一般类	操 作 系 统 有 哪 些 特 征 ？
一般类	操 作 系 统 有 哪 些 功 能 ？
一般类	操 作 系 统 有 哪 些 类 型 ？
一般类	操 作 系 统 需 要 什 么 样 的 硬 件 环 境 ？
一般类	进 程 的 组 成 部 分 是 什 么 ？
一般类	进 程 的 特 点 是 什 么 ？
一般类	进 程 有 哪 几 种 状 态 ？
一般类	进 程 间 的 通 信 机 制 有 哪 些 ？
一般类	进 程 控 制 是 怎 样 实 现 的 ？
一般类	进 程 调 度 算 法 有 哪 些 ？
一般类	产 生 死 锁 的 必 要 条 件 有 哪 些 ？
一般类	怎 样 对 死 锁 进 行 处 理 ？
