问 句	标 准 答 案	学 生 答 案	得分
简 述 网 络 层 的 定 义 。	网 络 层 的 定 义 如 下 ： O S I 参 考 模 型 中 的 第 3 层 。 网 络 层 处 理 P D U 在 互 联 网 络 间 的 寻 址 和 路 由 选 择 。	定 义 如 下 ： O S I 参 考 模 型 中 的 第 3 层 。 网 络 层 处 理 P D U 在 互 联 网 络 间 的 寻 址 和 路 由 选 择 。	10.0
简 述 网 络 层 的 定 义 。	网 络 层 的 定 义 如 下 ： O S I 参 考 模 型 中 的 第 3 层 。 网 络 层 处 理 P D U 在 互 联 网 络 间 的 寻 址 和 路 由 选 择 。	O S I 参 考 模 型 中 的 第 4 层 。 网 络 层 完 成 数 据 的 加 密 和 压 缩 。	0.0
简 述 开 放 系 统 互 连 的 定 义 。	开 放 系 统 互 连 的 定 义 如 下 ： 2 0 世 纪 7 0 年 代 开 发 的 I S O 标 准 体 系 ， 用 于 促 进 全 球 范 围 内 的 不 同 计 算 机 之 间 的 功 能 强 大 的 高 级 联 网 服 务 。	定 义 如 下 ： 2 0 世 纪 7 0 年 代 开 发 的 I S O 标 准 体 系 ， 用 于 促 进 全 球 范 围 内 的 不 同 计 算 机 之 间 的 功 能 强 大 的 高 级 联 网 服 务 。	10.0
简 述 开 放 系 统 互 连 的 定 义 。	开 放 系 统 互 连 的 定 义 如 下 ： 2 0 世 纪 7 0 年 代 开 发 的 I S O 标 准 体 系 ， 用 于 促 进 全 球 范 围 内 的 不 同 计 算 机 之 间 的 功 能 强 大 的 高 级 联 网 服 务 。	2 0 世 纪 8 0 年 代 开 发 的 I S O 标 准 体 系 ， 用 于 促 进 局 部 区 域 内 的 不 同 客 户 机 之 间 的 功 能 强 大 的 高 级 联 网 服 务 。	0.0
简 述 O S I 参 考 模 型 的 定 义 。	O S I 参 考 模 型 的 定 义 如 下 ： I S O 标 准 7 4 9 8 。 它 将 处 理 过 程 细 分 为 7 层 ， 为 了 解 和 实 现 网 络 定 义 了 一 个 参 考 框 架 。	定 义 如 下 ： I S O 标 准 7 4 9 8 。 它 将 处 理 过 程 细 分 为 7 层 ， 为 了 解 和 实 现 网 络 定 义 了 一 个 参 考 框 架 。	10.0
简 述 O S I 参 考 模 型 的 定 义 。	O S I 参 考 模 型 的 定 义 如 下 ： I S O 标 准 7 4 9 8 。 它 将 处 理 过 程 细 分 为 7 层 ， 为 了 解 和 实 现 网 络 定 义 了 一 个 参 考 框 架 。	I S O 标 准 5 4 9 8 。 它 将 处 理 过 程 细 分 为 5 层 ， 为 了 解 和 实 现 功 能 细 分 定 义 了 每 一 层 的 服 务 。	0.0
简 述 分 组 的 定 义 。	分 组 的 定 义 如 下 ： 与 O S I 参 考 模 型 中 的 任 何 一 层 上 的 处 理 有 关 的 数 据 单 元 。	定 义 如 下 ： 与 O S I 参 考 模 型 中 的 任 何 一 层 上 的 处 理 有 关 的 数 据 单 元 。	10.0
简 述 分 组 的 定 义 。	分 组 的 定 义 如 下 ： 与 O S I 参 考 模 型 中 的 任 何 一 层 上 的 处 理 有 关 的 数 据 单 元 。	与 O S I 参 考 模 型 中 的 每 一 层 上 的 处 理 有 关 的 数 据 帧 。	0.0
简 述 分 组 数 据 单 元 的 定 义 。	分 组 数 据 单 元 的 定 义 如 下 ： 与 O S I 参 考 模 型 中 的 任 何 一 层 上 的 处 理 有 关 的 数 据 单 元 ， 由 会 话 层 指 定 。	定 义 如 下 ： 与 O S I 参 考 模 型 中 的 任 何 一 层 上 的 处 理 有 关 的 数 据 单 元 ， 由 会 话 层 指 定 。	10.0
简 述 分 组 数 据 单 元 的 定 义 。	分 组 数 据 单 元 的 定 义 如 下 ： 与 O S I 参 考 模 型 中 的 任 何 一 层 上 的 处 理 有 关 的 数 据 单 元 ， 由 会 话 层 指 定 。	与 O S I 参 考 模 型 中 的 每 一 层 上 的 处 理 有 关 的 数 据 帧 ， 由 通 信 处 理 层 指 定 。	0.0
简 述 分 组 交 换 的 定 义 。	分 组 交 换 的 定 义 如 下 ： 通 过 支 持 发 送 方 和 接 收 方 之 间 的 多 条 路 径 的 联 网 介 质 发 送 分 组 的 传 输 方 法 。 传 输 可 以 沿 着 任 意 一 条 可 用 路 径 ， 并 且 多 个 分 组 可 以 同 时 通 过 网 络 传 输 ， 因 此 分 组 的 到 达 顺 序 可 能 与 发 送 它 们 的 顺 序 不 同 。 X . 2 5 是 一 类 常 见 的 分 组 交 换 网 络 。	定 义 如 下 ： 通 过 支 持 发 送 方 和 接 收 方 之 间 的 多 条 路 径 的 联 网 介 质 发 送 分 组 的 传 输 方 法 。 传 输 可 以 沿 着 任 意 一 条 可 用 路 径 ， 并 且 多 个 分 组 可 以 同 时 通 过 网 络 传 输 ， 因 此 分 组 的 到 达 顺 序 可 能 与 发 送 它 们 的 顺 序 不 同 。 X . 2 5 是 一 类 常 见 的 分 组 交 换 网 络 。	10.0
简 述 分 组 交 换 的 定 义 。	分 组 交 换 的 定 义 如 下 ： 通 过 支 持 发 送 方 和 接 收 方 之 间 的 多 条 路 径 的 联 网 介 质 发 送 分 组 的 传 输 方 法 。 传 输 可 以 沿 着 任 意 一 条 可 用 路 径 ， 并 且 多 个 分 组 可 以 同 时 通 过 网 络 传 输 ， 因 此 分 组 的 到 达 顺 序 可 能 与 发 送 它 们 的 顺 序 不 同 。 X . 2 5 是 一 类 常 见 的 分 组 交 换 网 络 。	一 类 分 组 穿 过 联 网 介 质 的 传 输 方 法 并 且 该 联 网 介 质 支 持 发 送 方 和 接 收 方 之 间 的 多 条 路 径 。 分 组 可 沿 任 意 一 条 可 用 路 径 传 输 ， 并 且 可 以 同 时 通 过 网 络 传 输 多 个 分 组 ， 因 此 无 法 保 证 分 组 的 到 达 顺 序 与 发 送 顺 序 相 同 。 常 用 的 分 组 交 换 网 络 是 X . 2 5 。	10.0
简 述 有 效 载 荷 的 定 义 。	有 效 载 荷 的 定 义 如 下 ： P D U 中 的 数 据 内 容 。	定 义 如 下 ： P D U 中 的 数 据 内 容 。	10.0
简 述 有 效 载 荷 的 定 义 。	有 效 载 荷 的 定 义 如 下 ： P D U 中 的 数 据 内 容 。	P D U 中 的 地 址 字 段 。	0.0
简 述 有 效 载 荷 数 据 单 元 的 定 义 。	有 效 载 荷 数 据 单 元 的 定 义 如 下 ： 数 据 内 容 与 构 成 整 个 P D U 的 报 头 和 报 尾 信 息 的 组 合 。	定 义 如 下 ： 数 据 内 容 与 构 成 整 个 P D U 的 报 头 和 报 尾 信 息 的 组 合 。	10.0
简 述 有 效 载 荷 数 据 单 元 的 定 义 。	有 效 载 荷 数 据 单 元 的 定 义 如 下 ： 数 据 内 容 与 构 成 整 个 P D U 的 报 头 和 报 尾 信 息 的 组 合 。	地 址 字 段 与 P D U 的 协 议 和 检 验 序 列 的 组 合 。	0.0
简 述 物 理 层 的 定 义 。	物 理 层 的 定 义 如 下 ： O S I 参 考 模 型 的 第 1 层 ， 最 底 层 。 物 理 层 规 定 了 线 缆 、 适 配 器 卡 、 连 接 器 的 物 理 细 节 。	定 义 如 下 ： O S I 参 考 模 型 的 第 1 层 ， 最 底 层 。 物 理 层 规 定 了 线 缆 、 适 配 器 卡 、 连 接 器 的 物 理 细 节 。	10.0
简 述 物 理 层 的 定 义 。	物 理 层 的 定 义 如 下 ： O S I 参 考 模 型 的 第 1 层 ， 最 底 层 。 物 理 层 规 定 了 线 缆 、 适 配 器 卡 、 连 接 器 的 物 理 细 节 。	O S I 参 考 模 型 的 第 7 层 ， 最 高 层 。 物 理 层 规 定 了 转 换 器 、 软 件 行 为 、 网 络 接 口 卡 的 物 理 细 节 。	0.0
简 述 表 示 层 的 定 义 。	表 示 层 的 定 义 如 下 ： O S I 参 考 模 型 的 第 6 层 。 在 这 里 可 以 对 数 据 加 密 ， 并 压 缩 它 以 便 于 传 递 。 将 平 台 特 有 的 应 用 程 序 格 式 转 换 为 便 于 传 输 的 通 用 数 据 格 式 ， 或 者 将 通 用 数 据 格 式 转 换 为 平 台 特 有 的 应 用 程 序 格 式 以 便 于 传 递 到 应 用 层 。	定 义 如 下 ： O S I 参 考 模 型 的 第 6 层 。 在 这 里 可 以 对 数 据 加 密 ， 并 压 缩 它 以 便 于 传 递 。 将 平 台 特 有 的 应 用 程 序 格 式 转 换 为 便 于 传 输 的 通 用 数 据 格 式 ， 或 者 将 通 用 数 据 格 式 转 换 为 平 台 特 有 的 应 用 程 序 格 式 以 便 于 传 递 到 应 用 层 。	10.0
简 述 表 示 层 的 定 义 。	表 示 层 的 定 义 如 下 ： O S I 参 考 模 型 的 第 6 层 。 在 这 里 可 以 对 数 据 加 密 ， 并 压 缩 它 以 便 于 传 递 。 将 平 台 特 有 的 应 用 程 序 格 式 转 换 为 便 于 传 输 的 通 用 数 据 格 式 ， 或 者 将 通 用 数 据 格 式 转 换 为 平 台 特 有 的 应 用 程 序 格 式 以 便 于 传 递 到 应 用 层 。	O S I 参 考 模 型 的 第 5 层 ， 负 责 数 据 的 存 储 、 转 发 。 将 平 台 通 用 的 应 用 程 序 格 式 转 换 为 便 于 传 输 的 特 有 数 据 格 式 ， 或 者 将 特 有 数 据 格 式 转 换 为 平 台 通 用 的 应 用 程 序 格 式 以 便 于 传 递 到 会 话 层 。	0.0
简 述 项 目 8 0 2 的 定 义 。	项 目 8 0 2 的 定 义 如 下 ： 产 生 8 0 2 . x 联 网 规 范 和 标 准 的 I E E E 联 网 首 创 行 动 。	定 义 如 下 ： 产 生 8 0 2 . x 联 网 规 范 和 标 准 的 I E E E 联 网 首 创 行 动 。	10.0
简 述 项 目 8 0 2 的 定 义 。	项 目 8 0 2 的 定 义 如 下 ： 产 生 8 0 2 . x 联 网 规 范 和 标 准 的 I E E E 联 网 首 创 行 动 。	产 生 8 0 2 . z 联 网 规 范 和 标 准 的 I E E E 联 网 首 创 行 动 。	0.0
简 述 协 议 数 据 单 元 的 定 义 。	协 议 数 据 单 元 的 定 义 如 下 ： 特 定 联 网 协 议 规 定 的 一 个 分 组 结 构 。 除 了 它 的 数 据 有 效 载 荷 之 外 ， 这 类 结 构 通 常 还 包 括 特 定 的 报 头 和 报 尾 信 息 。	定 义 如 下 ： 特 定 联 网 协 议 规 定 的 一 个 分 组 结 构 。 除 了 它 的 数 据 有 效 载 荷 之 外 ， 这 类 结 构 通 常 还 包 括 特 定 的 报 头 和 报 尾 信 息 。	10.0
简 述 协 议 数 据 单 元 的 定 义 。	协 议 数 据 单 元 的 定 义 如 下 ： 特 定 联 网 协 议 规 定 的 一 个 分 组 结 构 。 除 了 它 的 数 据 有 效 载 荷 之 外 ， 这 类 结 构 通 常 还 包 括 特 定 的 报 头 和 报 尾 信 息 。	特 定 联 网 协 议 规 定 的 一 个 数 据 帧 结 构 。 除 了 它 的 数 据 有 效 载 荷 之 外 ， 这 类 结 构 通 常 还 包 括 特 定 的 地 址 和 协 议 信 息 。	3.0
简 述 协 议 栈 的 定 义 。	协 议 栈 的 定 义 如 下 ： 提 供 发 送 方 和 接 收 方 之 间 的 端 到 端 网 络 通 信 的 联 网 协 议 的 有 序 集 合 。	定 义 如 下 ： 提 供 发 送 方 和 接 收 方 之 间 的 端 到 端 网 络 通 信 的 联 网 协 议 的 有 序 集 合 。	10.0
简 述 协 议 栈 的 定 义 。	协 议 栈 的 定 义 如 下 ： 提 供 发 送 方 和 接 收 方 之 间 的 端 到 端 网 络 通 信 的 联 网 协 议 的 有 序 集 合 。	联 网 协 议 的 一 个 有 序 集 合 ， 用 于 提 供 接 收 方 和 发 送 方 之 间 的 端 到 端 网 络 通 信 。	10.0
简 述 协 议 包 的 定 义 。	协 议 包 的 定 义 如 下 ： 一 系 列 相 关 协 议 ， 其 中 较 高 层 的 协 议 提 供 应 用 服 务 和 请 求 处 理 工 具 ， 而 较 低 层 的 协 议 管 理 O S I 参 考 模 型 的 第 1 层 到 第 4 层 的 复 杂 事 物 。	定 义 如 下 ： 一 系 列 相 关 协 议 ， 其 中 较 高 层 的 协 议 提 供 应 用 服 务 和 请 求 处 理 工 具 ， 而 较 低 层 的 协 议 管 理 O S I 参 考 模 型 的 第 1 层 到 第 4 层 的 复 杂 事 物 。	10.0
简 述 协 议 包 的 定 义 。	协 议 包 的 定 义 如 下 ： 一 系 列 相 关 协 议 ， 其 中 较 高 层 的 协 议 提 供 应 用 服 务 和 请 求 处 理 工 具 ， 而 较 低 层 的 协 议 管 理 O S I 参 考 模 型 的 第 1 层 到 第 4 层 的 复 杂 事 物 。	一 系 列 联 网 协 议 ， 其 中 较 低 层 的 协 议 提 供 应 用 服 务 和 请 求 处 理 工 具 ， 而 较 高 层 的 协 议 管 理 O S I 参 考 模 型 的 第 5 层 到 第 7 层 的 复 杂 事 物 。	0.0
简 述 重 新 组 装 的 定 义 。	重 新 组 装 的 定 义 如 下 ： 从 较 小 和 较 低 层 的 P D U 集 合 重 新 构 建 一 个 较 大 的 较 高 层 的 P D U 。 可 能 需 要 重 新 排 序 和 重 新 组 合 才 能 重 新 组 装 原 始 的 P D U 。	定 义 如 下 ： 从 较 小 和 较 低 层 的 P D U 集 合 重 新 构 建 一 个 较 大 的 较 高 层 的 P D U 。 可 能 需 要 重 新 排 序 和 重 新 组 合 才 能 重 新 组 装 原 始 的 P D U 。	10.0
简 述 重 新 组 装 的 定 义 。	重 新 组 装 的 定 义 如 下 ： 从 较 小 和 较 低 层 的 P D U 集 合 重 新 构 建 一 个 较 大 的 较 高 层 的 P D U 。 可 能 需 要 重 新 排 序 和 重 新 组 合 才 能 重 新 组 装 原 始 的 P D U 。	从 较 大 和 较 高 层 的 P D U 集 合 重 新 构 建 若 干 较 小 的 较 低 层 的 P D U 。 可 能 需 要 重 新 排 序 和 重 新 组 合 才 能 重 新 组 装 原 始 的 P D U 。	5.0
简 述 重 定 向 器 的 定 义 。	重 定 向 器 的 定 义 如 下 ： 截 取 来 自 一 台 计 算 机 的 服 务 请 求 ， 并 通 过 网 络 将 本 地 不 能 满 足 的 请 求 重 新 发 送 到 可 以 处 理 这 个 请 求 的 任 何 一 个 联 网 资 源 的 软 件 组 件 。	定 义 如 下 ： 截 取 来 自 一 台 计 算 机 的 服 务 请 求 ， 并 通 过 网 络 将 本 地 不 能 满 足 的 请 求 重 新 发 送 到 可 以 处 理 这 个 请 求 的 任 何 一 个 联 网 资 源 的 软 件 组 件 。	10.0
简 述 重 定 向 器 的 定 义 。	重 定 向 器 的 定 义 如 下 ： 截 取 来 自 一 台 计 算 机 的 服 务 请 求 ， 并 通 过 网 络 将 本 地 不 能 满 足 的 请 求 重 新 发 送 到 可 以 处 理 这 个 请 求 的 任 何 一 个 联 网 资 源 的 软 件 组 件 。	截 取 来 自 一 台 计 算 机 的 资 源 请 求 ， 将 本 地 无 法 处 理 的 请 求 通 过 网 络 重 新 发 送 到 可 以 满 足 该 请 求 的 任 何 一 个 联 网 资 源 的 软 件 组 件 。	5.0
简 述 路 由 选 择 的 定 义 。	路 由 选 择 的 定 义 如 下 ： 确 定 如 何 将 输 出 的 数 据 分 组 从 发 送 方 发 送 到 接 收 方 的 网 络 层 服 务 。 路 由 选 择 需 要 多 种 管 理 传 递 的 方 法 ， 并 且 要 求 错 误 和 状 态 报 告 ， 这 样 发 送 方 就 可 以 确 定 数 据 分 组 是 否 正 在 到 达 它 们 的 接 收 方 。	定 义 如 下 ： 确 定 如 何 将 输 出 的 数 据 分 组 从 发 送 方 发 送 到 接 收 方 的 网 络 层 服 务 。 路 由 选 择 需 要 多 种 管 理 传 递 的 方 法 ， 并 且 要 求 错 误 和 状 态 报 告 ， 这 样 发 送 方 就 可 以 确 定 数 据 分 组 是 否 正 在 到 达 它 们 的 接 收 方 。	10.0
简 述 路 由 选 择 的 定 义 。	路 由 选 择 的 定 义 如 下 ： 确 定 如 何 将 输 出 的 数 据 分 组 从 发 送 方 发 送 到 接 收 方 的 网 络 层 服 务 。 路 由 选 择 需 要 多 种 管 理 传 递 的 方 法 ， 并 且 要 求 错 误 和 状 态 报 告 ， 这 样 发 送 方 就 可 以 确 定 数 据 分 组 是 否 正 在 到 达 它 们 的 接 收 方 。	用 于 确 定 输 出 的 数 据 分 组 如 何 在 发 送 方 和 接 收 方 之 间 传 输 的 一 类 网 络 层 服 务 。 路 由 选 择 需 要 多 种 信 道 管 理 的 方 法 ， 并 且 要 求 接 收 方 每 收 到 一 个 数 据 分 组 就 向 发 送 方 返 回 一 个 确 认 帧 ， 方 便 发 送 方 预 判 数 据 分 组 是 否 顺 利 到 达 接 收 方 。	5.0
简 述 分 段 的 定 义 。	分 段 的 定 义 如 下 ： 将 较 大 的 较 高 层 的 P D U 分 解 为 较 小 的 较 低 层 P D U 的 集 合 。 它 包 括 排 序 和 重 新 组 装 信 息 ， 从 而 允 许 从 接 收 到 的 所 有 较 小 的 较 低 层 的 P D U 恢 复 为 原 始 的 较 高 层 P D U 。	定 义 如 下 ： 将 较 大 的 较 高 层 的 P D U 分 解 为 较 小 的 较 低 层 P D U 的 集 合 。 它 包 括 排 序 和 重 新 组 装 信 息 ， 从 而 允 许 从 接 收 到 的 所 有 较 小 的 较 低 层 的 P D U 恢 复 为 原 始 的 较 高 层 P D U 。	10.0
简 述 分 段 的 定 义 。	分 段 的 定 义 如 下 ： 将 较 大 的 较 高 层 的 P D U 分 解 为 较 小 的 较 低 层 P D U 的 集 合 。 它 包 括 排 序 和 重 新 组 装 信 息 ， 从 而 允 许 从 接 收 到 的 所 有 较 小 的 较 低 层 的 P D U 恢 复 为 原 始 的 较 高 层 P D U 。	将 若 干 较 小 的 较 低 层 的 P D U 分 解 为 较 大 的 较 高 层 P D U 的 集 合 。 它 包 括 排 序 和 重 新 组 装 信 息 ， 从 而 允 许 从 接 收 到 的 所 有 较 大 的 较 高 层 的 P D U 恢 复 为 原 始 的 较 低 层 P D U 。	3.0
简 述 服 务 接 入 点 的 定 义 。	服 务 接 入 点 的 定 义 如 下 ： 用 于 从 L L C 子 层 向 上 层 的 O S I 层 传 递 信 息 的 逻 辑 接 口 点 。	定 义 如 下 ： 用 于 从 L L C 子 层 向 上 层 的 O S I 层 传 递 信 息 的 逻 辑 接 口 点 。	10.0
简 述 服 务 接 入 点 的 定 义 。	服 务 接 入 点 的 定 义 如 下 ： 用 于 从 L L C 子 层 向 上 层 的 O S I 层 传 递 信 息 的 逻 辑 接 口 点 。	用 于 从 O S I 层 向 下 层 的 L L C 子 层 传 递 信 息 的 逻 辑 接 口 点 。	0.0
简 述 会 话 层 的 定 义 。	会 话 层 的 定 义 如 下 ： O S I 参 考 模 型 的 第 5 层 。 会 话 层 负 责 建 立 、 维 护 、 结 束 网 络 上 正 在 进 行 的 通 信 序 列 。	定 义 如 下 ： O S I 参 考 模 型 的 第 5 层 。 会 话 层 负 责 建 立 、 维 护 、 结 束 网 络 上 正 在 进 行 的 通 信 序 列 。	10.0
简 述 会 话 层 的 定 义 。	会 话 层 的 定 义 如 下 ： O S I 参 考 模 型 的 第 5 层 。 会 话 层 负 责 建 立 、 维 护 、 结 束 网 络 上 正 在 进 行 的 通 信 序 列 。	O S I 参 考 模 型 的 第 6 层 。 会 话 层 负 责 管 理 、 更 新 、 撤 销 网 络 上 正 在 进 行 的 通 信 序 列 。	0.0
简 述 子 层 的 定 义 。	子 层 的 定 义 如 下 ： O S I 参 考 模 型 第 2 层 的 两 个 组 件 。 I E E E   8 0 2 项 目 将 它 们 详 细 描 述 为 逻 辑 链 路 控 制 子 层 和 介 质 接 入 控 制 子 层 。	定 义 如 下 ： O S I 参 考 模 型 第 2 层 的 两 个 组 件 。 I E E E   8 0 2 项 目 将 它 们 详 细 描 述 为 逻 辑 链 路 控 制 子 层 和 介 质 接 入 控 制 子 层 。	10.0
简 述 子 层 的 定 义 。	子 层 的 定 义 如 下 ： O S I 参 考 模 型 第 2 层 的 两 个 组 件 。 I E E E   8 0 2 项 目 将 它 们 详 细 描 述 为 逻 辑 链 路 控 制 子 层 和 介 质 接 入 控 制 子 层 。	O S I 参 考 模 型 第 1 层 的 两 个 组 件 。 I E E E   8 0 2 项 目 将 它 们 详 细 描 述 为 物 理 链 路 控 制 子 层 和 网 络 接 入 控 制 子 层 。	0.0
简 述 系 统 网 络 体 系 结 构 的 定 义 。	系 统 网 络 体 系 结 构 的 定 义 如 下 ： I B M 用 于 它 的 大 型 机 和 较 老 式 的 小 型 机 的 协 议 包 。 S N A 仍 然 是 全 世 界 最 广 泛 使 用 的 协 议 包 之 一 。	定 义 如 下 ： I B M 用 于 它 的 大 型 机 和 较 老 式 的 小 型 机 的 协 议 包 。 S N A 仍 然 是 全 世 界 最 广 泛 使 用 的 协 议 包 之 一 。	10.0
简 述 系 统 网 络 体 系 结 构 的 定 义 。	系 统 网 络 体 系 结 构 的 定 义 如 下 ： I B M 用 于 它 的 大 型 机 和 较 老 式 的 小 型 机 的 协 议 包 。 S N A 仍 然 是 全 世 界 最 广 泛 使 用 的 协 议 包 之 一 。	W i n d o w s 用 于 它 的 巨 型 机 和 较 老 式 的 微 型 机 的 协 议 包 。 T C P / I P 仍 然 是 全 世 界 最 广 泛 使 用 的 协 议 包 之 一 。	0.0
简 述 传 输 控 制 协 议 / I n t e r n e t 协 议 的 定 义 。	传 输 控 制 协 议 / I n t e r n e t 协 议 的 定 义 如 下 ： 支 持 不 同 系 统 之 间 通 信 的 协 议 包 。 T C P / I P 已 经 成 为 I n t e r n e t 的 标 准 通 信 协 议 。	定 义 如 下 ： 支 持 不 同 系 统 之 间 通 信 的 协 议 包 。 T C P / I P 已 经 成 为 I n t e r n e t 的 标 准 通 信 协 议 。	10.0
简 述 传 输 控 制 协 议 / I n t e r n e t 协 议 的 定 义 。	传 输 控 制 协 议 / I n t e r n e t 协 议 的 定 义 如 下 ： 支 持 不 同 系 统 之 间 通 信 的 协 议 包 。 T C P / I P 已 经 成 为 I n t e r n e t 的 标 准 通 信 协 议 。	支 持 不 同 主 机 之 间 通 信 的 协 议 包 。 U D P 已 经 成 为 I n t e r n e t 的 标 准 通 信 协 议 。	0.0
简 述 传 输 层 的 定 义 。	传 输 层 的 定 义 如 下 ： O S I 参 考 模 型 的 第 4 层 。 传 输 层 负 责 对 来 自 会 话 层 的 大 P D U 分 段 ， 以 便 于 通 过 网 络 传 递 ， 并 且 插 入 足 够 的 完 整 性 控 制 和 管 理 传 递 机 制 ， 从 而 允 许 在 网 络 传 输 的 接 收 端 无 误 地 重 组 它 们 。	定 义 如 下 ： O S I 参 考 模 型 的 第 4 层 。 传 输 层 负 责 对 来 自 会 话 层 的 大 P D U 分 段 ， 以 便 于 通 过 网 络 传 递 ， 并 且 插 入 足 够 的 完 整 性 控 制 和 管 理 传 递 机 制 ， 从 而 允 许 在 网 络 传 输 的 接 收 端 无 误 地 重 组 它 们 。	10.0
简 述 传 输 层 的 定 义 。	传 输 层 的 定 义 如 下 ： O S I 参 考 模 型 的 第 4 层 。 传 输 层 负 责 对 来 自 会 话 层 的 大 P D U 分 段 ， 以 便 于 通 过 网 络 传 递 ， 并 且 插 入 足 够 的 完 整 性 控 制 和 管 理 传 递 机 制 ， 从 而 允 许 在 网 络 传 输 的 接 收 端 无 误 地 重 组 它 们 。	O S I 参 考 模 型 的 第 3 层 。 传 输 层 负 责 对 来 自 会 话 层 的 小 P D U 重 新 组 装 ， 以 便 于 通 过 网 络 传 递 ， 并 且 插 入 足 够 的 保 密 性 控 制 和 信 道 管 理 机 制 ， 从 而 允 许 发 送 方 预 判 数 据 分 组 是 否 正 在 到 达 它 们 的 接 收 方 。	2.0
简 述 地 址 注 册 处 的 定 义 。	地 址 注 册 处 的 定 义 如 下 ： I P 地 址 注 册 公 司 。 这 些 公 司 在 I A N A 的 支 持 下 发 放 I P 地 址 、 管 理 I P 地 址 范 围 、 处 理 D N S 域 名 注 册 。	定 义 如 下 ： I P 地 址 注 册 公 司 。 这 些 公 司 在 I A N A 的 支 持 下 发 放 I P 地 址 、 管 理 I P 地 址 范 围 、 处 理 D N S 域 名 注 册 。	10.0
简 述 地 址 注 册 处 的 定 义 。	地 址 注 册 处 的 定 义 如 下 ： I P 地 址 注 册 公 司 。 这 些 公 司 在 I A N A 的 支 持 下 发 放 I P 地 址 、 管 理 I P 地 址 范 围 、 处 理 D N S 域 名 注 册 。	在 I A N A 的 支 持 下 分 配 I P 地 址 、 约 束 I P 地 址 范 围 、 负 责 D N S 域 名 注 册 的 I P 地 址 注 册 公 司 。	10.0
简 述 地 址 解 析 协 议 的 定 义 。	地 址 解 析 协 议 的 定 义 如 下 ： T C P / I P 协 议 包 中 的 一 个 协 议 ， 用 于 将 逻 辑 地 址 关 联 到 物 理 地 址 。	定 义 如 下 ： T C P / I P 协 议 包 中 的 一 个 协 议 ， 用 于 将 逻 辑 地 址 关 联 到 物 理 地 址 。	10.0
简 述 地 址 解 析 协 议 的 定 义 。	地 址 解 析 协 议 的 定 义 如 下 ： T C P / I P 协 议 包 中 的 一 个 协 议 ， 用 于 将 逻 辑 地 址 关 联 到 物 理 地 址 。	U D P 协 议 包 中 的 一 个 协 议 ， 其 作 用 是 将 逻 辑 地 址 和 物 理 地 址 关 联 。	5.0
简 述 A p p l e T a l k 文 件 协 议 的 定 义 。	A p p l e T a l k 文 件 协 议 的 定 义 如 下 ： A p p l e 的 远 程 文 件 管 理 协 议 。	定 义 如 下 ： A p p l e 的 远 程 文 件 管 理 协 议 。	10.0
简 述 A p p l e T a l k 文 件 协 议 的 定 义 。	A p p l e T a l k 文 件 协 议 的 定 义 如 下 ： A p p l e 的 远 程 文 件 管 理 协 议 。	A p p l e 的 本 地 文 件 管 理 协 议 。	0.0
简 述 应 用 协 议 的 定 义 。	应 用 协 议 的 定 义 如 下 ： 工 作 在 O S I 模 型 的 上 层 中 的 一 类 协 议 ， 提 供 应 用 程 序 到 应 用 程 序 的 交 互 。	定 义 如 下 ： 工 作 在 O S I 模 型 的 上 层 中 的 一 类 协 议 ， 提 供 应 用 程 序 到 应 用 程 序 的 交 互 。	10.0
简 述 应 用 协 议 的 定 义 。	应 用 协 议 的 定 义 如 下 ： 工 作 在 O S I 模 型 的 上 层 中 的 一 类 协 议 ， 提 供 应 用 程 序 到 应 用 程 序 的 交 互 。	工 作 在 O S I 模 型 的 下 层 中 的 一 类 协 议 ， 提 供 客 户 软 件 间 的 交 互 。	0.0
简 述 自 动 专 用 I P 寻 址 的 定 义 。	自 动 专 用 I P 寻 址 的 定 义 如 下 ： 以 1 6 9 . 2 5 4 开 头 的 一 个 特 殊 地 址 范 围 ， 当 没 有 D H C P 服 务 器 对 D H C P 请 求 做 出 响 应 时 由 计 算 机 使 用 。	定 义 如 下 ： 以 1 6 9 . 2 5 4 开 头 的 一 个 特 殊 地 址 范 围 ， 当 没 有 D H C P 服 务 器 对 D H C P 请 求 做 出 响 应 时 由 计 算 机 使 用 。	10.0
简 述 自 动 专 用 I P 寻 址 的 定 义 。	自 动 专 用 I P 寻 址 的 定 义 如 下 ： 以 1 6 9 . 2 5 4 开 头 的 一 个 特 殊 地 址 范 围 ， 当 没 有 D H C P 服 务 器 对 D H C P 请 求 做 出 响 应 时 由 计 算 机 使 用 。	以 1 2 8 . 2 5 6 开 头 的 一 个 特 殊 地 址 范 围 ， 当 没 有 D H C P 服 务 器 对 D H C P 请 求 做 出 响 应 时 由 客 户 机 使 用 。	0.0
简 述 广 播 分 组 的 定 义 。	广 播 分 组 的 定 义 如 下 ： 一 类 分 组 类 型 。 它 的 目 的 地 址 代 表 了 网 络 上 的 所 有 计 算 机 。	定 义 如 下 ： 一 类 分 组 类 型 。 它 的 目 的 地 址 代 表 了 网 络 上 的 所 有 计 算 机 。	10.0
