问 句	标 准 答 案	学 生 答 案	得分
什 么 是 网 络 协 议 ？	网 络 协 议 的 定 义 如 下 ： 在 计 算 机 与 计 算 机 之 间 进 行 通 信 时 必 须 遵 循 的 一 些 事 先 约 定 好 的 规 则 。	定 义 如 下 ： 在 计 算 机 与 计 算 机 之 间 进 行 通 信 时 必 须 遵 循 的 一 些 事 先 约 定 好 的 规 则 。	10.0
什 么 是 网 络 协 议 ？	网 络 协 议 的 定 义 如 下 ： 在 计 算 机 与 计 算 机 之 间 进 行 通 信 时 必 须 遵 循 的 一 些 事 先 约 定 好 的 规 则 。	数 据 在 网 络 中 传 输 时 必 须 遵 循 的 的 约 定 。	0.0
什 么 是 网 络 体 系 结 构 ？	网 络 体 系 结 构 的 定 义 如 下 ： 网 络 协 议 和 网 络 功 能 的 集 合 ， 是 对 计 算 机 网 络 功 能 的 精 确 定 义 。	定 义 如 下 ： 网 络 协 议 和 网 络 功 能 的 集 合 ， 是 对 计 算 机 网 络 应 功 能 的 精 确 定 义 。	10.0
什 么 是 网 络 体 系 结 构 ？	网 络 体 系 结 构 的 定 义 如 下 ： 网 络 协 议 和 网 络 功 能 的 集 合 ， 是 对 计 算 机 网 络 功 能 的 精 确 定 义 。	网 络 数 据 单 元 和 传 输 媒 体 的 集 合 ， 详 细 规 定 了 计 算 机 网 络 的 功 能 。	5.0
什 么 是 I S O / O S I 参 考 模 型 ？	I S O / O S I 参 考 模 型 的 定 义 如 下 ： 为 使 网 络 结 构 标 准 化 ， 国 际 标 准 化 组 织 在 1 9 7 9 年 制 订 了 开 放 系 统 互 连 参 考 模 型 ， 为 建 立 网 络 体 系 结 构 提 供 了 框 架 ， 在 这 一 框 架 下 进 一 步 详 细 规 定 了 每 一 层 的 功 能 。	定 义 如 下 ： 为 使 网 络 结 构 标 准 化 ， 国 际 标 准 化 组 织 在 1 9 7 9 年 制 订 了 开 放 系 统 互 连 参 考 模 型 ， 为 建 立 网 络 体 系 结 构 提 供 了 框 架 ， 在 这 一 框 架 下 进 一 步 详 细 规 定 了 每 一 层 的 功 能 。	10.0
什 么 是 I S O / O S I 参 考 模 型 ？	I S O / O S I 参 考 模 型 的 定 义 如 下 ： 为 使 网 络 结 构 标 准 化 ， 国 际 标 准 化 组 织 在 1 9 7 9 年 制 订 了 开 放 系 统 互 连 参 考 模 型 ， 为 建 立 网 络 体 系 结 构 提 供 了 框 架 ， 在 这 一 框 架 下 进 一 步 详 细 规 定 了 每 一 层 的 功 能 。	为 使 网 络 结 构 规 范 化 ， 国 际 标 准 化 组 织 在 1 9 7 6 年 制 订 了 开 放 系 统 互 连 参 考 模 型 ， 为 建 立 网 络 体 系 结 构 提 供 了 模 型 ， 在 这 一 模 型 下 进 一 步 定 义 了 各 层 的 功 能 。	10.0
什 么 是 T C P 协 议 ？	T C P 协 议 的 定 义 如 下 ： 一 种 可 靠 的 面 向 连 接 的 协 议 ， 允 许 从 一 台 机 器 发 出 字 节 流 无 差 错 地 发 往 互 连 网 上 的 其 他 机 器 。 它 把 输 入 的 字 节 流 分 成 报 文 段 并 传 送 给 互 连 层 。 在 接 收 端 ， T C P 接 收 进 程 把 收 到 的 报 文 再 组 装 成 输 入 流 。	定 义 如 下 ： 一 种 可 靠 的 面 向 连 接 的 协 议 ， 允 许 从 一 台 机 器 发 出 字 节 流 无 差 错 地 发 往 互 连 网 上 的 其 他 机 器 。 它 把 输 入 的 字 节 流 分 成 报 文 段 并 传 送 给 互 连 层 。 在 接 收 端 ， T C P 接 收 进 程 把 收 到 的 报 文 再 组 装 成 输 入 流 。	10.0
什 么 是 T C P 协 议 ？	T C P 协 议 的 定 义 如 下 ： 一 种 可 靠 的 面 向 连 接 的 协 议 ， 允 许 从 一 台 机 器 发 出 字 节 流 无 差 错 地 发 往 互 连 网 上 的 其 他 机 器 。 它 把 输 入 的 字 节 流 分 成 报 文 段 并 传 送 给 互 连 层 。 在 接 收 端 ， T C P 接 收 进 程 把 收 到 的 报 文 再 组 装 成 输 入 流 。	一 种 不 可 靠 的 无 连 接 协 议 ， 允 许 从 一 台 机 器 发 出 比 特 流 无 差 错 地 发 往 互 连 网 上 的 其 他 机 器 。 它 把 输 入 的 比 特 流 分 成 报 文 段 并 传 送 给 网 络 层 。 在 发 送 端 ， T C P 发 送 进 程 把 传 输 的 报 文 封 装 成 输 入 流 。	0.0
什 么 是 U D P 协 议 ？	U D P 协 议 的 定 义 如 下 ： 一 个 不 可 靠 的 无 连 接 协 议 ， 用 于 不 需 要 T C P 排 序 和 流 量 控 制 能 力 而 是 自 己 完 成 这 些 功 能 的 应 用 程 序 。 它 也 被 广 泛 地 应 用 于 只 有 一 次 的 客 户 / 服 务 器 模 式 的 请 求 - 应 答 查 询 ， 以 及 快 速 递 交 比 准 确 递 交 更 重 要 的 应 用 程 序 ， 如 传 输 语 音 。	定 义 如 下 ： 一 个 不 可 靠 的 无 连 接 协 议 ， 用 于 不 需 要 T C P 排 序 和 流 量 控 制 能 力 而 是 自 己 完 成 这 些 功 能 的 应 用 程 序 。 它 也 被 广 泛 地 应 用 于 只 有 一 次 的 客 户 / 服 务 器 模 式 的 请 求 - 应 答 查 询 ， 以 及 快 速 递 交 比 准 确 递 交 更 重 要 的 应 用 程 序 ， 如 传 输 语 音 。	10.0
什 么 是 U D P 协 议 ？	U D P 协 议 的 定 义 如 下 ： 一 个 不 可 靠 的 无 连 接 协 议 ， 用 于 不 需 要 T C P 排 序 和 流 量 控 制 能 力 而 是 自 己 完 成 这 些 功 能 的 应 用 程 序 。 它 也 被 广 泛 地 应 用 于 只 有 一 次 的 客 户 / 服 务 器 模 式 的 请 求 - 应 答 查 询 ， 以 及 快 速 递 交 比 准 确 递 交 更 重 要 的 应 用 程 序 ， 如 传 输 语 音 。	一 个 可 靠 的 面 向 连 接 的 协 议 ， 用 于 需 要 T C P 排 序 和 流 量 控 制 能 力 而 不 是 自 己 完 成 这 些 功 能 的 应 用 程 序 。 它 也 被 广 泛 地 应 用 于 不 止 一 次 的 客 户 / 服 务 器 模 式 的 请 求 - 应 答 查 询 ， 以 及 准 确 递 交 比 快 速 递 交 更 重 要 的 应 用 程 序 ， 如 传 输 图 像 。	0.0
什 么 是 网 络 拓 扑 ？	网 络 拓 扑 的 定 义 如 下 ： 计 算 机 网 络 图 谱 是 通 过 网 中 节 点 与 通 信 线 路 之 间 的 几 何 关 系 表 示 网 络 结 构 ， 反 映 出 网 络 中 实 体 间 的 结 构 关 系 。 拓 扑 设 计 是 建 设 计 算 机 网 络 的 第 一 步 ， 也 是 实 现 各 种 网 络 协 议 的 基 础 。	定 义 如 下 ： 计 算 机 网 络 图 谱 是 通 过 网 中 节 点 与 通 信 线 路 之 间 的 几 何 关 系 表 示 网 络 结 构 ， 反 映 出 网 络 中 实 体 间 的 结 构 关 系 。 拓 扑 设 计 是 建 设 计 算 机 网 络 的 第 一 步 ， 也 是 实 现 各 种 网 络 协 议 的 基 础 。	10.0
什 么 是 网 络 拓 扑 ？	网 络 拓 扑 的 定 义 如 下 ： 计 算 机 网 络 图 谱 是 通 过 网 中 节 点 与 通 信 线 路 之 间 的 几 何 关 系 表 示 网 络 结 构 ， 反 映 出 网 络 中 实 体 间 的 结 构 关 系 。 拓 扑 设 计 是 建 设 计 算 机 网 络 的 第 一 步 ， 也 是 实 现 各 种 网 络 协 议 的 基 础 。	计 算 机 网 络 图 谱 是 通 过 网 中 节 点 与 通 信 线 路 之 间 的 层 次 关 系 表 示 网 络 结 构 ， 反 映 出 网 络 中 对 象 间 的 结 构 关 系 。 构 造 计 算 机 网 络 的 第 一 步 便 是 拓 扑 设 计 ， 同 时 也 是 实 现 网 络 数 据 传 输 的 基 础 。	2.0
什 么 是 并 行 传 输 ？	并 行 传 输 的 定 义 如 下 ： 数 据 的 每 一 位 各 占 一 条 信 号 线 并 行 传 输 ， 两 数 据 设 备 之 间 一 次 传 输 多 位 并 行 数 据 ， 每 条 连 线 对 应 一 条 信 道 ， 用 于 传 输 代 码 的 对 应 位 ， 多 条 信 道 组 成 了 多 位 并 行 信 号 。	定 义 如 下 ： 数 据 的 每 一 位 各 占 一 条 信 号 线 并 行 传 输 ， 两 数 据 设 备 之 间 一 次 传 输 多 位 并 行 数 据 ， 每 条 连 线 对 应 一 条 信 道 ， 用 于 传 输 代 码 的 对 应 位 ， 多 条 信 道 组 成 了 多 位 并 行 信 号 。	10.0
什 么 是 并 行 传 输 ？	并 行 传 输 的 定 义 如 下 ： 数 据 的 每 一 位 各 占 一 条 信 号 线 并 行 传 输 ， 两 数 据 设 备 之 间 一 次 传 输 多 位 并 行 数 据 ， 每 条 连 线 对 应 一 条 信 道 ， 用 于 传 输 代 码 的 对 应 位 ， 多 条 信 道 组 成 了 多 位 并 行 信 号 。	指 的 是 代 码 的 若 干 位 顺 序 排 列 成 数 据 流 在 一 条 信 道 上 传 输 。 数 据 源 向 数 据 宿 发 出 了 0 和 1 组 成 的 并 行 数 据 。 其 在 硬 信 号 的 连 接 上 节 省 了 信 道 ， 利 于 远 程 传 输 ， 所 以 广 泛 用 于 远 程 数 据 传 输 中 。	0.0
什 么 是 串 行 传 输 ？	串 行 传 输 的 定 义 如 下 ： 代 码 的 若 干 位 顺 序 排 列 成 数 据 流 在 一 条 信 道 上 传 输 。 数 据 源 向 数 据 宿 发 出 了 0 和 1 组 成 的 串 行 数 据 。 其 在 硬 信 号 的 连 接 上 节 省 了 信 道 ， 利 于 远 程 传 输 ， 所 以 广 泛 用 于 远 程 数 据 传 输 中 。	定 义 如 下 ： 代 码 的 若 干 位 顺 序 排 列 成 数 据 流 在 一 条 信 道 上 传 输 。 数 据 源 向 数 据 宿 发 出 了 0 和 1 组 成 的 串 行 数 据 。 其 在 硬 信 号 的 连 接 上 节 省 了 信 道 ， 利 于 远 程 传 输 ， 所 以 广 泛 用 于 远 程 数 据 传 输 中 。	10.0
什 么 是 串 行 传 输 ？	串 行 传 输 的 定 义 如 下 ： 代 码 的 若 干 位 顺 序 排 列 成 数 据 流 在 一 条 信 道 上 传 输 。 数 据 源 向 数 据 宿 发 出 了 0 和 1 组 成 的 串 行 数 据 。 其 在 硬 信 号 的 连 接 上 节 省 了 信 道 ， 利 于 远 程 传 输 ， 所 以 广 泛 用 于 远 程 数 据 传 输 中 。	数 据 的 每 一 位 各 占 一 条 信 号 线 串 行 传 输 ， 两 数 据 设 备 之 间 一 次 传 输 多 位 串 行 数 据 ， 每 条 连 线 对 应 一 条 信 道 ， 用 于 传 输 代 码 的 对 应 位 ， 多 条 信 道 组 成 了 多 位 串 行 信 号 。	0.0
什 么 是 数 据 的 同 步 传 输 ？	数 据 的 同 步 传 输 的 定 义 如 下 ： 这 种 方 式 以 固 定 的 时 钟 节 拍 发 送 数 据 信 号 ， 字 符 间 顺 序 相 连 ， 既 无 间 隙 也 没 有 插 入 位 。 同 步 传 输 具 有 较 高 的 传 输 效 率 速 率 ， 常 用 于 高 速 数 据 传 输 。	定 义 如 下 ： 这 种 方 式 以 固 定 的 时 钟 节 拍 发 送 数 据 信 号 ， 字 符 间 顺 序 相 连 ， 既 无 间 隙 也 没 有 插 入 位 。 同 步 传 输 具 有 较 高 的 传 输 效 率 速 率 ， 常 用 于 高 速 数 据 传 输 。	10.0
什 么 是 数 据 的 同 步 传 输 ？	数 据 的 同 步 传 输 的 定 义 如 下 ： 这 种 方 式 以 固 定 的 时 钟 节 拍 发 送 数 据 信 号 ， 字 符 间 顺 序 相 连 ， 既 无 间 隙 也 没 有 插 入 位 。 同 步 传 输 具 有 较 高 的 传 输 效 率 速 率 ， 常 用 于 高 速 数 据 传 输 。	这 种 方 式 每 个 字 符 都 独 立 传 输 ， 接 收 设 备 每 收 到 一 个 字 符 的 开 始 位 后 进 行 同 步 。 在 同 步 传 输 方 式 中 由 于 不 需 要 发 送 和 接 收 设 备 之 间 另 外 传 输 定 时 信 号 ， 因 此 实 现 起 来 比 较 简 单 ， 常 用 于 低 速 数 据 传 输 中 。	0.0
什 么 是 数 据 的 异 步 传 输 ？	数 据 的 异 步 传 输 的 定 义 如 下 ： 这 种 方 式 每 个 字 符 都 独 立 传 输 ， 接 收 设 备 每 收 到 一 个 字 符 的 开 始 位 后 进 行 同 步 。 在 异 步 传 输 方 式 中 由 于 不 需 要 发 送 和 接 收 设 备 之 间 另 外 传 输 定 时 信 号 ， 因 此 实 现 起 来 比 较 简 单 ， 常 用 于 低 速 数 据 传 输 中 。	定 义 如 下 ： 这 种 方 式 每 个 字 符 都 独 立 传 输 ， 接 收 设 备 每 收 到 一 个 字 符 的 开 始 位 后 进 行 同 步 。 在 异 步 传 输 方 式 中 由 于 不 需 要 发 送 和 接 收 设 备 之 间 另 外 传 输 定 时 信 号 ， 因 此 实 现 起 来 比 较 简 单 ， 常 用 于 低 速 数 据 传 输 中 。	10.0
什 么 是 数 据 的 异 步 传 输 ？	数 据 的 异 步 传 输 的 定 义 如 下 ： 这 种 方 式 每 个 字 符 都 独 立 传 输 ， 接 收 设 备 每 收 到 一 个 字 符 的 开 始 位 后 进 行 同 步 。 在 异 步 传 输 方 式 中 由 于 不 需 要 发 送 和 接 收 设 备 之 间 另 外 传 输 定 时 信 号 ， 因 此 实 现 起 来 比 较 简 单 ， 常 用 于 低 速 数 据 传 输 中 。	这 种 方 式 以 固 定 的 时 钟 节 拍 发 送 数 据 信 号 ， 字 符 间 顺 序 相 连 ， 既 无 间 隙 也 没 有 插 入 位 。 异 步 传 输 具 有 较 高 的 传 输 效 率 速 率 ， 常 用 于 高 速 数 据 传 输 。	0.0
什 么 是 T o k e n   B u s ？	T o k e n   B u s 的 定 义 如 下 ： T o k e n   B u s 是 一 种 在 总 线 拓 扑 中 利 用 令 牌 作 为 控 制 节 点 访 问 公 共 传 输 介 质 的 确 定 型 介 质 访 问 控 制 方 法 。 在 采 用 T o k e n   B u s 方 法 的 局 域 网 中 ， 任 何 一 个 节 点 只 有 在 取 得 令 牌 后 才 能 使 用 共 享 总 线 发 送 数 据 。	定 义 如 下 ： T o k e n   B u s 是 一 种 在 总 线 拓 扑 中 利 用 令 牌 作 为 控 制 节 点 访 问 公 共 传 输 介 质 的 确 定 型 介 质 访 问 控 制 方 法 。 在 采 用 T o k e n   B u s 方 法 的 局 域 网 中 ， 任 何 一 个 节 点 只 有 在 取 得 令 牌 后 才 能 使 用 共 享 总 线 发 送 数 据 。	10.0
什 么 是 T o k e n   B u s ？	T o k e n   B u s 的 定 义 如 下 ： T o k e n   B u s 是 一 种 在 总 线 拓 扑 中 利 用 令 牌 作 为 控 制 节 点 访 问 公 共 传 输 介 质 的 确 定 型 介 质 访 问 控 制 方 法 。 在 采 用 T o k e n   B u s 方 法 的 局 域 网 中 ， 任 何 一 个 节 点 只 有 在 取 得 令 牌 后 才 能 使 用 共 享 总 线 发 送 数 据 。	T o k e n   B u s 是 一 种 在 总 线 拓 扑 中 利 用 令 牌 作 为 控 制 节 点 访 问 公 共 传 输 介 质 的 随 机 型 介 质 访 问 控 制 方 法 。 在 采 用 T o k e n   B u s 方 法 的 广 域 网 中 ， 任 何 一 个 节 点 只 有 在 取 得 令 牌 后 才 能 使 用 公 共 传 输 介 质 发 送 数 据 。	0.0
什 么 是 结 构 化 布 线 ？	结 构 化 布 线 的 定 义 如 下 ： 结 构 化 布 线 是 使 用 一 套 标 准 的 组 网 器 件 ， 按 照 标 准 的 连 接 方 法 实 现 的 网 络 化 布 线 系 统 。 结 构 化 布 线 与 传 统 布 线 系 统 最 大 的 区 别 在 于 结 构 化 布 线 系 统 的 结 构 与 当 前 所 连 接 的 设 备 的 位 置 无 关 。	定 义 如 下 ： 结 构 化 布 线 是 使 用 一 套 标 准 的 组 网 器 件 ， 按 照 标 准 的 连 接 方 法 实 现 的 网 络 化 布 线 系 统 。 结 构 化 布 线 与 传 统 布 线 系 统 最 大 的 区 别 在 于 结 构 化 布 线 系 统 的 结 构 与 当 前 所 连 接 的 设 备 的 位 置 无 关 。	10.0
什 么 是 结 构 化 布 线 ？	结 构 化 布 线 的 定 义 如 下 ： 结 构 化 布 线 是 使 用 一 套 标 准 的 组 网 器 件 ， 按 照 标 准 的 连 接 方 法 实 现 的 网 络 化 布 线 系 统 。 结 构 化 布 线 与 传 统 布 线 系 统 最 大 的 区 别 在 于 结 构 化 布 线 系 统 的 结 构 与 当 前 所 连 接 的 设 备 的 位 置 无 关 。	结 构 化 布 线 是 使 用 一 套 标 准 的 操 作 指 令 ， 按 照 标 准 的 网 络 协 议 实 现 的 网 络 化 布 线 系 统 。 结 构 化 布 线 与 传 统 布 线 系 统 最 大 的 区 别 在 于 结 构 化 布 线 系 统 的 结 构 与 当 前 所 连 接 的 设 备 的 位 置 有 关 。	0.0
什 么 是 操 作 系 统 ？	操 作 系 统 的 定 义 如 下 ： 有 效 地 组 织 管 理 计 算 机 系 统 中 的 软 硬 件 资 源 ， 合 理 地 组 织 计 算 机 的 工 作 流 程 ， 控 制 流 程 的 执 行 ， 向 用 户 提 供 各 种 服 务 功 能 。	定 义 如 下 ： 有 效 地 组 织 管 理 计 算 机 系 统 中 的 软 硬 件 资 源 ， 合 理 地 组 织 计 算 机 的 工 作 流 程 ， 控 制 流 程 的 执 行 ， 向 用 户 提 供 各 种 服 务 功 能 。	10.0
什 么 是 操 作 系 统 ？	操 作 系 统 的 定 义 如 下 ： 有 效 地 组 织 管 理 计 算 机 系 统 中 的 软 硬 件 资 源 ， 合 理 地 组 织 计 算 机 的 工 作 流 程 ， 控 制 流 程 的 执 行 ， 向 用 户 提 供 各 种 服 务 功 能 。	有 效 地 组 织 管 理 计 算 机 系 统 中 的 存 储 容 量 ， 合 理 地 分 配 计 算 机 的 公 共 资 源 ， 控 制 资 源 的 访 问 ， 为 用 户 提 供 良 好 的 界 面 。	0.0
什 么 是 特 权 指 令 ？	特 权 指 令 的 定 义 如 下 ： 只 允 许 操 作 系 统 使 用 ， 而 不 允 许 一 般 用 户 使 用 的 指 令 ， 包 括 修 改 程 序 状 态 字 、 设 置 中 断 屏 蔽 、 设 置 时 钟 。	定 义 如 下 ： 只 允 许 操 作 系 统 使 用 ， 而 不 允 许 一 般 用 户 使 用 的 指 令 ， 包 括 修 改 程 序 状 态 字 、 设 置 中 断 屏 蔽 、 设 置 时 钟 。	10.0
什 么 是 特 权 指 令 ？	特 权 指 令 的 定 义 如 下 ： 只 允 许 操 作 系 统 使 用 ， 而 不 允 许 一 般 用 户 使 用 的 指 令 ， 包 括 修 改 程 序 状 态 字 、 设 置 中 断 屏 蔽 、 设 置 时 钟 。	只 允 许 系 统 管 理 员 使 用 ， 而 不 允 许 外 部 用 户 使 用 的 指 令 ， 包 括 算 术 运 算 指 令 、 取 数 存 数 指 令 、 访 管 指 令 。	0.0
什 么 是 非 特 权 指 令 ？	非 特 权 指 令 的 定 义 如 下 ： 特 权 指 令 之 外 的 指 令 称 做 非 特 权 指 令 ， 非 特 权 指 令 的 执 行 不 影 响 其 他 用 户 以 及 系 统 ， 包 括 算 术 运 算 指 令 、 取 数 存 数 指 令 、 访 管 指 令 。	定 义 如 下 ： 特 权 指 令 之 外 的 指 令 称 做 非 特 权 指 令 ， 非 特 权 指 令 的 执 行 不 影 响 其 他 用 户 以 及 系 统 ， 包 括 算 术 运 算 指 令 、 取 数 存 数 指 令 、 访 管 指 令 。	10.0
什 么 是 非 特 权 指 令 ？	非 特 权 指 令 的 定 义 如 下 ： 特 权 指 令 之 外 的 指 令 称 做 非 特 权 指 令 ， 非 特 权 指 令 的 执 行 不 影 响 其 他 用 户 以 及 系 统 ， 包 括 算 术 运 算 指 令 、 取 数 存 数 指 令 、 访 管 指 令 。	只 允 许 操 作 系 统 使 用 ， 而 不 允 许 一 般 用 户 使 用 的 指 令 ， 包 括 修 改 程 序 状 态 字 、 设 置 中 断 屏 蔽 、 设 置 中 断 向 量 。	0.0
什 么 是 中 断 ？	中 断 的 定 义 如 下 ： C P U 暂 停 正 在 执 行 的 程 序 ， 保 留 现 场 后 自 动 去 执 行 相 应 的 处 理 程 序 ， 处 理 完 该 事 件 后 再 返 回 断 点 继 续 执 行 被 打 断 的 程 序 。	定 义 如 下 ： C P U 暂 停 正 在 执 行 的 程 序 ， 保 留 现 场 后 自 动 去 执 行 相 应 的 处 理 程 序 ， 处 理 完 该 事 件 后 再 返 回 断 点 继 续 执 行 被 打 断 的 程 序 。	10.0
什 么 是 中 断 ？	中 断 的 定 义 如 下 ： C P U 暂 停 正 在 执 行 的 程 序 ， 保 留 现 场 后 自 动 去 执 行 相 应 的 处 理 程 序 ， 处 理 完 该 事 件 后 再 返 回 断 点 继 续 执 行 被 打 断 的 程 序 。	硬 件 暂 停 正 在 执 行 的 请 求 ， 保 留 现 场 后 自 动 去 执 行 相 应 的 处 理 请 求 ， 处 理 完 该 事 件 后 再 返 回 断 点 继 续 执 行 被 打 断 的 请 求 。	0.0
什 么 是 强 迫 性 中 断 ？	强 迫 性 中 断 的 定 义 如 下 ： 强 迫 性 中 断 是 正 在 运 行 的 程 序 所 不 期 望 的 ， 它 们 是 否 发 生 、 何 时 发 生 事 先 无 法 预 料 ， 因 而 运 行 程 序 可 能 在 任 意 位 置 被 打 断 。	定 义 如 下 ： 强 迫 性 中 断 是 正 在 运 行 的 程 序 所 不 期 望 的 ， 它 们 是 否 发 生 、 何 时 发 生 事 先 无 法 预 料 ， 因 而 运 行 程 序 可 能 在 任 意 位 置 被 打 断 。	10.0
什 么 是 强 迫 性 中 断 ？	强 迫 性 中 断 的 定 义 如 下 ： 强 迫 性 中 断 是 正 在 运 行 的 程 序 所 不 期 望 的 ， 它 们 是 否 发 生 、 何 时 发 生 事 先 无 法 预 料 ， 因 而 运 行 程 序 可 能 在 任 意 位 置 被 打 断 。	强 迫 性 中 断 是 正 在 运 行 的 程 序 有 意 识 安 排 的 ， 因 要 求 操 作 系 统 提 供 服 务 而 有 意 识 用 访 管 指 令 或 系 统 调 用 ， 从 而 导 致 中 断 的 ， 所 以 又 称 为 访 管 中 断 。	0.0
什 么 是 自 愿 性 中 断 ？	自 愿 性 中 断 的 定 义 如 下 ： 自 愿 性 中 断 是 正 在 运 行 的 程 序 有 意 识 安 排 的 ， 通 常 是 在 编 制 程 序 时 ， 因 要 求 操 作 系 统 提 供 服 务 而 有 意 识 用 访 管 指 令 或 系 统 调 用 ， 从 而 导 致 中 断 的 ， 所 以 又 称 为 访 管 中 断 。	定 义 如 下 ： 自 愿 性 中 断 是 正 在 运 行 的 程 序 有 意 识 安 排 的 ， 通 常 是 在 编 制 程 序 时 ， 因 要 求 操 作 系 统 提 供 服 务 而 有 意 识 用 访 管 指 令 或 系 统 调 用 ， 从 而 导 致 中 断 的 ， 所 以 又 称 为 访 管 中 断 。	10.0
什 么 是 自 愿 性 中 断 ？	自 愿 性 中 断 的 定 义 如 下 ： 自 愿 性 中 断 是 正 在 运 行 的 程 序 有 意 识 安 排 的 ， 通 常 是 在 编 制 程 序 时 ， 因 要 求 操 作 系 统 提 供 服 务 而 有 意 识 用 访 管 指 令 或 系 统 调 用 ， 从 而 导 致 中 断 的 ， 所 以 又 称 为 访 管 中 断 。	自 愿 性 中 断 是 正 在 运 行 的 程 序 所 不 期 望 的 ， 它 们 是 否 发 生 、 何 时 发 生 事 先 无 法 预 料 ， 运 行 程 序 可 能 在 任 意 位 置 被 打 断 ， 又 称 为 访 管 中 断 。	2.0
什 么 是 中 断 响 应 ？	中 断 响 应 的 定 义 如 下 ： 硬 件 对 中 断 请 求 做 出 响 应 的 过 程 ， 包 括 识 别 中 断 源 、 保 留 现 场 、 引 出 中 断 处 理 程 序 。	定 义 如 下 ： 硬 件 对 中 断 请 求 做 出 响 应 的 过 程 ， 包 括 识 别 中 断 源 、 保 留 现 场 、 引 出 中 断 处 理 程 序 。	10.0
什 么 是 中 断 响 应 ？	中 断 响 应 的 定 义 如 下 ： 硬 件 对 中 断 请 求 做 出 响 应 的 过 程 ， 包 括 识 别 中 断 源 、 保 留 现 场 、 引 出 中 断 处 理 程 序 。	指 在 提 出 中 断 请 求 之 后 ， C P U 不 予 响 应 的 状 态 。 C P U 是 否 允 许 某 类 中 断 ， 由 当 前 程 序 状 态 字 中 的 中 断 屏 蔽 位 决 定 。	0.0
什 么 是 中 断 屏 蔽 ？	中 断 屏 蔽 的 定 义 如 下 ： 指 在 提 出 中 断 请 求 之 后 ， C P U 不 予 响 应 的 状 态 。 C P U 是 否 允 许 某 类 中 断 ， 由 当 前 程 序 状 态 字 中 的 中 断 屏 蔽 位 决 定 。	定 义 如 下 ： 指 在 提 出 中 断 请 求 之 后 ， C P U 不 予 响 应 的 状 态 。 C P U 是 否 允 许 某 类 中 断 ， 由 当 前 程 序 状 态 字 中 的 中 断 屏 蔽 位 决 定 。	10.0
什 么 是 中 断 屏 蔽 ？	中 断 屏 蔽 的 定 义 如 下 ： 指 在 提 出 中 断 请 求 之 后 ， C P U 不 予 响 应 的 状 态 。 C P U 是 否 允 许 某 类 中 断 ， 由 当 前 程 序 状 态 字 中 的 中 断 屏 蔽 位 决 定 。	硬 件 对 中 断 请 求 做 出 响 应 的 过 程 ， 包 括 识 别 中 断 源 、 保 留 现 场 、 引 出 中 断 处 理 程 序 。	0.0
什 么 是 进 程 ？	进 程 的 定 义 如 下 ： 进 程 是 具 有 一 定 独 立 功 能 的 程 序 在 某 个 数 据 集 合 上 的 一 次 运 行 活 动 ， 是 系 统 进 行 资 源 分 配 和 调 度 的 一 个 独 立 单 位 。	定 义 如 下 ： 进 程 是 具 有 一 定 独 立 功 能 的 程 序 在 某 个 数 据 集 合 上 的 一 次 运 行 活 动 ， 是 系 统 进 行 资 源 分 配 和 调 度 的 一 个 独 立 单 位 。	10.0
什 么 是 进 程 ？	进 程 的 定 义 如 下 ： 进 程 是 具 有 一 定 独 立 功 能 的 程 序 在 某 个 数 据 集 合 上 的 一 次 运 行 活 动 ， 是 系 统 进 行 资 源 分 配 和 调 度 的 一 个 独 立 单 位 。	进 程 是 系 统 进 行 服 务 分 配 和 调 度 的 一 个 独 立 单 位 ， 是 具 有 一 定 独 立 功 能 的 程 序 在 某 个 操 作 平 台 上 的 一 次 运 行 活 动 。	0.0
什 么 是 管 道 ？	管 道 的 定 义 如 下 ： 连 接 两 个 进 程 的 一 个 打 开 的 共 享 文 件 ， 专 用 于 进 程 之 间 的 数 据 通 信 。	定 义 如 下 ： 连 接 两 个 进 程 的 一 个 打 开 的 共 享 文 件 ， 专 用 于 进 程 之 间 的 数 据 通 信 。	10.0
什 么 是 管 道 ？	管 道 的 定 义 如 下 ： 连 接 两 个 进 程 的 一 个 打 开 的 共 享 文 件 ， 专 用 于 进 程 之 间 的 数 据 通 信 。	连 接 两 个 实 体 的 一 个 打 开 的 共 享 文 件 ， 专 用 于 实 体 之 间 的 数 据 通 信 。	0.0
什 么 是 死 锁 ？	死 锁 的 定 义 如 下 ： 在 多 道 程 序 系 统 中 ， 一 组 进 程 中 的 每 一 个 进 程 均 无 限 期 地 等 待 被 改 组 进 程 中 的 另 一 个 进 程 所 占 用 且 永 远 不 会 释 放 的 资 源 ， 这 种 现 象 称 系 统 处 于 死 锁 状 态 。 死 锁 的 产 生 与 各 并 发 进 程 的 相 对 速 度 有 关 ， 一 般 不 可 重 现 。	定 义 如 下 ： 在 多 道 程 序 系 统 中 ， 一 组 进 程 中 的 每 一 个 进 程 均 无 限 期 地 等 待 被 改 组 进 程 中 的 另 一 个 进 程 所 占 用 且 永 远 不 会 释 放 的 资 源 ， 这 种 现 象 称 系 统 处 于 死 锁 状 态 。 死 锁 的 产 生 与 各 并 发 进 程 的 相 对 速 度 有 关 ， 一 般 不 可 重 现 。	10.0
